"species","sex","treatment","n"
"?","f","storage",9
"feathered_thorn","m","storage",2
"feathered_thorn",NA,"lionel",1
"mu","f","lionel",1
"mu","f","storage",13
"mu","m","storage",1
"mu/wm_probably_mu","f","storage",1
"red_green_carpet","m","storage",1
"sm","f","storage",6
"sm","m","storage",2
"su","f","lionel",1
"su","f","storage",22
"su","m","lionel",1
"su","m","storage",4
"wm","f","lionel",53
"wm","f","lost",1
"wm","f","mated",218
"wm","f","storage",604
"wm","m","lionel",68
"wm","m","mated",83
"wm","m","storage",82
"wm","m",NA,3
